Tick,Quality,type,Task
659.3,0.22492340835543212,Order346-2,Task 336
660.3,4.387738041601461,Order350-9,Task 353
662.3,5.928340739877068,Order350-8,Task 352
665.3,23.22133890652991,Order353-7,Task 360
667.3,11.457103873255322,Order348-9,Task 582
668.3,0.36707059078529625,Order350-5,Task 349
669.3,4.290572505727443,Order350-3,Task 347
669.3,21.034528082437937,Order352-6,Task 369
674.3,-2.880019152956116,Order353-2,Task 355
675.3,27.12787092597306,Order353-8,Task 361
679.3,-1.1259307539951573,Order353-10,Task 363
680.3,19.280292573894076,Order353-9,Task 362
682.3,4.0715559052656065,Order353-3,Task 356
683.3,5.745803754083287,Order353-6,Task 359
687.3,-1.827470002911869,Order352-2,Task 365
688.3,12.612997147367196,Order353-1,Task 354
693.3,2.3600856695975407,Order352-1,Task 364
693.3,3.168068007764668,Order353-5,Task 358
697.3,7.708094235113073,Order346-5,Task 377
698.3,5.837099124684874,Order352-3,Task 366
699.3,5.01297000217777,Order352-7,Task 370
700.3,3.4234178315674093,Order352-8,Task 371
704.3,1.2838105349328583,Order352-4,Task 367
707.3,13.347538751675845,Order353-8,Task 611
707.3,3.672384926611668,Order346-4,Task 376
708.3,21.652548808016668,Order353-4,Task 607
710.3,1.9915194477639049,Order346-10,Task 382
710.3,2.470802855521583,Order346-9,Task 381
710.3,0.669655513187184,Order352-9,Task 372
713.3,4.367638324668042,Order346-1,Task 373
714.3,10.278340538960386,Order352-5,Task 368
718.3,1.9498448397202406,Order346-8,Task 380
718.3,16.600649924542118,Order354-1,Task 383
720.3,4.416021317561052,Order346-7,Task 379
720.3,19.020020688245822,Order346-6,Task 378
725.3,19.279186236788835,Order354-9,Task 391
726.3,5.638822899745431,Order354-3,Task 385
726.3,6.128986785906723,Order346-2,Task 374
728.3,1.4341656134925378,Order354-6,Task 388
729.3,0.5325666222688006,Order354-4,Task 386
729.3,-0.6477753993151443,Order346-3,Task 375
731.3,-0.039640491290380275,Order354-10,Task 392
731.3,7.572952736340025,Order354-2,Task 384
733.3,13.831595600105704,Order354-5,Task 387
733.3,22.689180848078045,Order352-6,Task 398
734.3,25.046696269853758,Order354-7,Task 389
736.3,9.845669130539243,Order352-5,Task 397
737.3,9.49360727612184,Order352-8,Task 400
740.3,5.460030759062844,Order352-7,Task 399
741.3,21.921260344928832,Order353-1,Task 412
741.3,1.9301840447026652,Order352-3,Task 395
744.3,13.846387427946365,Order354-8,Task 390
744.3,18.880619309738638,Order353-7,Task 408
745.3,2.908912417331667,Order352-4,Task 396
747.3,1.9858630439341909,Order353-3,Task 404
747.3,1.1720337720915093,Order352-2,Task 394
749.3,9.620033163070099,Order352-1,Task 393
749.3,10.618302095886392,Order353-9,Task 410
750.3,1.3024774341963743,Order352-9,Task 401
752.3,0.4459935036636682,Order353-6,Task 407
756.3,-1.4378404044555104,Order353-10,Task 411
757.3,0.4350572818013645,Order353-10,Task 421
758.3,2.440863551456323,Order353-2,Task 403
758.3,27.514667593176235,Order353-8,Task 409
761.3,-1.7133166657035428,Order353-5,Task 406
764.3,2.3641039336852137,Order353-2,Task 413
765.3,25.025907327190062,Order353-8,Task 419
769.3,21.70708884105608,Order353-7,Task 418
770.3,10.394501075510476,Order353-9,Task 420
772.3,3.3249213050673214,Order353-3,Task 414
773.3,10.069735940706925,Order351-8,Task 429
777.3,3.713304459914071,Order353-6,Task 417
779.3,4.479132155621323,Order353-5,Task 416
781.3,22.303498706115235,Order351-1,Task 422
782.3,19.77223831851463,Order351-10,Task 431
782.3,15.990701069864949,Order351-4,Task 425
784.0,20.529717124549016,Order348-9,Task 671
786.3,0.05263913007450283,Order351-5,Task 426
786.3,3.26845615238641,Order354-6,Task 629
787.3,18.98334169536308,Order351-3,Task 424
793.3,1.8808231781963842,Order351-6,Task 427
795.3,3.5499310487312288,Order351-7,Task 428
799.3,4.190700037333215,Order352-3,Task 434
800.3,6.631001682003938,Order352-4,Task 435
801.3,9.869384059237536,Order352-8,Task 439
801.3,4.018706903695875,Order352-2,Task 433
803.3,23.887171900180252,Order352-6,Task 437
803.3,10.212363201697535,Order352-1,Task 432
805.3,13.831800863295808,Order353-8,Task 457
806.3,1.9972079923441883,Order352-7,Task 438
806.3,10.51658449313889,Order352-5,Task 436
808.3,14.88514992989385,Order352-8,Task 448
808.3,25.733699135254497,Order348-9,Task 681
812.3,5.4583464019919905,Order353-2,Task 451
815.3,-7.50955657623309,Order353-5,Task 454
816.3,2.6151327438712477,Order352-9,Task 440
816.3,3.01164887858055,Order352-9,Task 449
822.3,-2.1652100077219485,Order352-7,Task 447
822.3,2.4520645405112953,Order353-3,Task 452
824.3,23.82900332064239,Order352-6,Task 446
827.0,23.189897854527228,Order348-9,Task 720
827.3,1.9693916606754756,Order352-4,Task 444
827.3,21.428483011929057,Order353-1,Task 450
830.3,2.835398453064206,Order353-6,Task 455
832.3,10.001794396537166,Order352-1,Task 441
833.0,14.965747393617066,Order351-2,Task 723
835.3,-1.1018406008447292,Order352-2,Task 442
835.3,20.46364587754537,Order351-9,Task 730
836.3,7.2896530963534625,Order353-10,Task 459
836.3,10.639389144634345,Order352-5,Task 445
838.3,0.14824525657181198,Order354-3,Task 462
842.3,-0.7487917542836571,Order352-3,Task 443
845.3,-3.710059825232232,Order354-6,Task 465
845.3,13.838780456614233,Order353-7,Task 456
846.3,10.322027609109734,Order353-9,Task 458
847.3,4.061156240326303,Order354-10,Task 469
850.3,15.564985891884868,Order354-9,Task 468
850.3,15.37898434318111,Order354-1,Task 460
852.3,1.8937194755660467,Order354-2,Task 461
854.3,0.6746607850072022,Order354-4,Task 463
854.3,15.966911117191744,Order353-7,Task 485
861.3,13.835413897373035,Order354-8,Task 467
862.3,30.09434527176345,Order354-7,Task 466
868.3,13.851227826322223,Order354-5,Task 464
869.3,-0.3405542838422275,Order352-2,Task 471
871.3,15.4292623525364,Order352-6,Task 475
873.3,2.395698133674752,Order352-3,Task 472
876.3,9.593037191598086,Order352-8,Task 477
878.3,4.9996868223187345,Order352-9,Task 478
878.3,21.849275220162944,Order353-1,Task 479
880.3,2.154508871659336,Order352-7,Task 476
885.3,4.862205971892875,Order352-4,Task 473
885.3,10.538775042015349,Order352-5,Task 474
885.3,10.003121533949203,Order350-4,Task 492
888.3,-0.8994453854011071,Order353-6,Task 484
890.3,21.661296087618872,Order350-7,Task 495
892.3,4.211451722857703,Order353-2,Task 480
894.3,2.121135967039299,Order353-10,Task 488
895.3,15.95311851675927,Order353-8,Task 486
895.3,9.560460145974835,Order352-1,Task 470
895.3,4.892228650427086,Order353-5,Task 483
897.3,4.264535094568334,Order350-2,Task 490
899.3,1.8243154224397233,Order353-3,Task 481
900.3,10.182863617736606,Order353-9,Task 487
900.3,-1.2902468972643542,Order350-8,Task 496
901.3,13.592078870077977,Order350-1,Task 489
903.3,21.625042338819288,Order350-7,Task 504
903.3,21.207489723829127,Order350-9,Task 497
907.3,1.1043799803309404,Order350-5,Task 493
909.3,0.27958200067616135,Order350-3,Task 491
910.3,0.7193935092964079,Order350-6,Task 494
912.3,0.8010789443449593,Order350-2,Task 499
913.0,9.882839366960983,Order350-4,Task 754
915.3,7.358713306301527,Order350-5,Task 502
919.3,13.260268380720266,Order350-9,Task 506
920.3,15.278841276825808,Order350-4,Task 501
920.3,-1.3030718870643145,Order350-3,Task 500
923.3,13.714997670871533,Order350-1,Task 498
923.3,4.8019502302452235,Order350-6,Task 503
925.3,1.2023950945266282,Order350-8,Task 505
927.3,20.77239034819603,Order352-6,Task 512
928.3,6.809039053756291,Order352-3,Task 509
930.3,20.388496361195784,Order350-7,Task 532
930.3,-1.9456156636627293,Order352-4,Task 510
930.3,14.165510898305016,Order354-1,Task 516
931.3,12.694529945355622,Order352-8,Task 514
932.3,19.546116466527334,Order346-5,Task 773
933.0,22.80407300847007,Order346-7,Task 775
933.3,8.782656524264661,Order352-5,Task 511
936.3,10.02132586273637,Order350-4,Task 763
936.3,-1.898045153412962,Order352-7,Task 513
938.3,12.340816225813066,Order354-3,Task 518
942.3,10.207857360679649,Order352-1,Task 507
943.3,1.1349210327867978,Order352-9,Task 515
943.3,3.398105837080559,Order352-2,Task 508
943.3,10.556101367570417,Order354-8,Task 523
943.3,3.427896063455892,Order354-10,Task 525
944.3,29.5264500809147,Order354-7,Task 785
947.3,16.877978221279825,Order354-9,Task 524
948.3,4.173189251529174,Order354-2,Task 517
951.3,9.896745889891147,Order354-4,Task 519
953.3,15.95794919928726,Order354-5,Task 520
955.3,22.36256047211702,Order354-7,Task 522
958.3,20.376193734635194,Order354-6,Task 521
959.3,19.295018809795152,Order351-10,Task 553
962.3,12.090464032422659,Order350-9,Task 534
963.3,2.0669052757698223,Order350-3,Task 528
968.3,10.035284247232102,Order350-4,Task 529
